cow_id,date,milk_liters,fat_percent,feed_kg,feed_type
L9829,2024-06-01,26.43,3.76,22.69,Hay
P6677,2024-06-01,38.99,3.19,18.49,Hay
K9325,2024-06-01,28.04,3.9,16.2,Hay
G2757,2024-06-01,30.98,3.88,22.77,Silage
J9639,2024-06-01,40.92,4.16,20.39,Silage
S6097,2024-06-01,39.8,3.56,19.58,Silage
I8517,2024-06-01,25.93,3.81,19.81,Silage
G8171,2024-06-01,36.81,3.28,16.2,Silage
I5026,2024-06-01,23.26,3.05,18.12,Silage
C4705,2024-06-01,23.61,3.99,18.58,Hay
O8173,2024-06-01,35.33,3.48,22.63,Hay
Q9174,2024-06-01,34.9,4.34,16.59,Silage
Y6643,2024-06-01,30.66,3.46,19.32,Silage
N9197,2024-06-01,33.79,3.71,24.68,Silage
M1583,2024-06-01,30.09,3.29,20.76,Silage
V7756,2024-06-01,32.12,3.86,20.16,Silage
F5883,2024-06-01,29.11,3.38,23.62,Silage
M2207,2024-06-01,32.68,3.4,22.07,Hay
V3948,2024-06-01,41.83,3.12,21.34,Silage
C7126,2024-06-01,40.59,3.42,20.21,Silage
L4232,2024-06-01,39.22,3.14,19.75,Hay
Q3500,2024-06-01,41.88,3.58,17.87,Hay
Z3123,2024-06-01,29.44,3.04,21.14,Hay
U5357,2024-06-01,45.06,3.33,26.51,Silage
V9643,2024-06-01,31.46,2.94,13.07,Silage
H2377,2024-06-01,40.89,2.58,16.8,Silage
E5966,2024-06-01,29.53,3.25,18.33,Silage
O7477,2024-06-01,24.49,2.32,21.75,Silage
N7280,2024-06-01,18,2.99,20.46,Hay
Y3782,2024-06-01,34.58,2.57,21.2,Silage
Y9266,2024-06-01,26.24,3.38,14.1,Hay
U6809,2024-06-01,34.26,2.93,19.11,Hay
V4575,2024-06-01,33.14,4.66,21.08,Hay
Q711,2024-06-01,38.96,3,18.53,Silage
Y4092,2024-06-01,31.22,3.72,16.63,Silage
V3979,2024-06-01,30.96,3.68,21.38,Hay
R3357,2024-06-01,38.23,3.26,25.15,Hay
J7734,2024-06-01,27.18,3.08,18.86,Hay
J6910,2024-06-01,32.32,2.65,22.46,Silage
H985,2024-06-01,36.57,3.06,22.34,Silage
Y7815,2024-06-01,28.68,4.13,21.49,Hay
A7863,2024-06-01,28.98,2.67,19.87,Hay
I7447,2024-06-01,36.86,4.01,19.08,Hay
U1955,2024-06-01,29.91,4.38,19.38,Hay
Z4043,2024-06-01,39.51,2.05,19.35,Silage
S5427,2024-06-01,33.95,4.46,19.31,Hay
R4684,2024-06-01,40.98,3.34,19.91,Hay
R5369,2024-06-01,23.62,3.33,23.02,Hay
M4054,2024-06-01,34.37,2.8,19.15,Silage
D8719,2024-06-01,30.96,3.46,23.08,Hay
O6552,2024-06-01,26.9,3.35,18.32,Hay
O194,2024-06-01,27.98,3.95,20.65,Hay
K4714,2024-06-01,29.56,4.28,23.76,Hay
J6077,2024-06-01,39.19,3.91,17.81,Silage
U8535,2024-06-01,38.93,3.06,15.35,Silage
S6386,2024-06-01,33.05,3.21,14.94,Hay
I1385,2024-06-01,37.2,3.68,22.1,Silage
F9953,2024-06-01,27.49,2.61,24.55,Hay
N9692,2024-06-01,30.11,3.66,23.67,Silage
T4649,2024-06-01,25.95,3.1,19,Hay
B984,2024-06-01,28.34,3.42,18.79,Hay
G1028,2024-06-01,20.86,3.25,21.66,Hay
K3463,2024-06-01,33.54,3.16,16.78,Hay
H9517,2024-06-01,38.68,4.72,20.91,Silage
I2506,2024-06-01,34.79,3.44,20.37,Silage
S9300,2024-06-01,31.22,3.29,25.36,Silage
P3832,2024-06-01,32.32,3.08,26.15,Silage
F2131,2024-06-01,39.5,3.7,16.94,Hay
Z7830,2024-06-01,36.91,3.44,20.33,Silage
E6182,2024-06-01,33.58,3.89,18.6,Silage
G150,2024-06-01,22.02,3.15,21.28,Hay
V472,2024-06-01,37.35,3.18,20.54,Silage
E9760,2024-06-01,28.06,3.85,16.34,Silage
D9038,2024-06-01,29.76,3.29,22.51,Hay
W8010,2024-06-01,39.85,3.27,17.92,Silage
T5602,2024-06-01,17.53,4.24,18.66,Hay
E3229,2024-06-01,30.04,3.25,17.94,Hay
G685,2024-06-01,23.69,3.12,16.92,Hay
Y4775,2024-06-01,39.88,3.76,24.11,Silage
B3068,2024-06-01,24.53,3.84,17.94,Hay
Z7830,2024-06-02,30.05,3.84,18.12,Silage
K4714,2024-06-02,34.62,2.85,22.76,Hay
K9325,2024-06-02,28.58,3.93,21.31,Hay
D8719,2024-06-02,25.81,2.76,19.16,Hay
Y7815,2024-06-02,32.75,3.47,26.56,Hay
E9760,2024-06-02,39.43,3.84,18.88,Silage
S5427,2024-06-02,25.65,3.64,21.16,Hay
O7477,2024-06-02,25.24,3.43,22.22,Silage
R5369,2024-06-02,30.37,3.24,21,Hay
K3463,2024-06-02,23.35,2.71,15.2,Hay
O6552,2024-06-02,29.97,4.41,20.02,Hay
B984,2024-06-02,25.39,3.93,20.71,Hay
O194,2024-06-02,32.45,3.47,15.67,Hay
I1385,2024-06-02,37.25,3.31,19.29,Silage
T5602,2024-06-02,30.8,3.82,23.45,Hay
L4232,2024-06-02,23.06,3.23,19.79,Hay
U6809,2024-06-02,29.3,2.93,21.82,Hay
U8535,2024-06-02,37.32,3.64,15.62,Silage
C7126,2024-06-02,25.44,4.06,21.93,Silage
V4575,2024-06-02,31.43,3.77,21.65,Hay
J6910,2024-06-02,39.46,4.19,21.56,Silage
I7447,2024-06-02,34.86,3.09,17.45,Hay
S6386,2024-06-02,25.14,2.65,19.86,Hay
G2757,2024-06-02,33.54,3.88,26.3,Silage
V3948,2024-06-02,44.01,3.47,15.61,Silage
U5357,2024-06-02,38.98,3.62,19.23,Silage
Y3782,2024-06-02,34.84,3.87,20.72,Silage
E5966,2024-06-02,36.06,4.1,24.08,Silage
S9300,2024-06-02,30.14,3.25,18.2,Silage
E3229,2024-06-02,35.46,3.24,19.02,Hay
U1955,2024-06-02,42.27,3.58,17.16,Hay
O8173,2024-06-02,32.69,3.93,19.83,Hay
S6097,2024-06-02,41.58,2.89,18.88,Silage
Y4775,2024-06-02,39.48,2.86,18.73,Silage
Z4043,2024-06-02,41.13,3.25,20.77,Silage
Q711,2024-06-02,41.08,3.54,22.36,Silage
M1583,2024-06-02,33.68,3.82,24.33,Silage
J6077,2024-06-02,29.24,3.07,18.96,Silage
V3979,2024-06-02,31.61,3.45,23.29,Hay
N9692,2024-06-02,48.54,3,22.98,Silage
N9197,2024-06-02,32.69,3.88,18.89,Silage
D9038,2024-06-02,26.95,3.06,17.65,Hay
P3832,2024-06-02,30.88,3.88,16.14,Silage
Y6643,2024-06-02,33.27,2.94,13.84,Silage
R3357,2024-06-02,27.69,2.93,21,Hay
W8010,2024-06-02,37.64,4.11,20.35,Silage
G8171,2024-06-02,26.75,3.25,18.53,Silage
H9517,2024-06-02,32.04,3.67,18.41,Silage
J7734,2024-06-02,22.64,3.64,16.93,Hay
P6677,2024-06-02,33.2,3.31,19.21,Hay
B3068,2024-06-02,37.35,3.27,19.64,Hay
F5883,2024-06-02,33.29,3.39,25.53,Silage
T4649,2024-06-02,34.76,3.41,15.28,Hay
R4684,2024-06-02,25.26,3.39,21.35,Hay
H2377,2024-06-02,27.15,3.43,17.87,Silage
V7756,2024-06-02,40.28,3.59,22.06,Silage
A7863,2024-06-02,33.7,2.89,20.12,Hay
V9643,2024-06-02,36.1,4.13,22.31,Silage
Y9266,2024-06-02,24.75,3.55,24.6,Hay
V472,2024-06-02,41.01,3.51,22.93,Silage
I2506,2024-06-02,32.42,4,25.73,Silage
Q3500,2024-06-02,19.3,3.63,16.97,Hay
C4705,2024-06-02,28.07,3.92,16.92,Hay
G150,2024-06-02,33.47,3.39,18.27,Hay
N7280,2024-06-02,32.5,2.82,15,Hay
G1028,2024-06-02,24.02,2.87,20.32,Hay
M4054,2024-06-02,36.98,3.51,21.69,Silage
Y4092,2024-06-02,27.97,3.43,18.04,Silage
I5026,2024-06-02,34.2,4.74,17.15,Silage
Q9174,2024-06-02,39.4,3.61,18.86,Silage
G685,2024-06-02,33.33,3.41,19.26,Hay
I8517,2024-06-02,37.31,3.24,18.08,Silage
E6182,2024-06-02,35.05,4.39,20.23,Silage
L9829,2024-06-02,13.45,3.61,15.15,Hay
H985,2024-06-02,32.96,3.38,17.11,Silage
Z3123,2024-06-02,34.51,4.07,22.11,Hay
F2131,2024-06-02,27,4.34,15.46,Hay
J9639,2024-06-02,36.85,2.65,19.34,Silage
F9953,2024-06-02,21.09,4.06,23.39,Hay
U5357,2024-06-03,33.08,3.33,21.63,Silage
J7734,2024-06-03,36.93,3.89,16.44,Hay
S5427,2024-06-03,32.75,3.56,16.85,Hay
U1955,2024-06-03,35.34,3.26,23.94,Hay
C7126,2024-06-03,34.88,2.88,29.72,Silage
B984,2024-06-03,22.8,3.68,17.63,Hay
T4649,2024-06-03,23.49,3.84,23.33,Hay
U6809,2024-06-03,26.14,3.25,19.03,Hay
R5369,2024-06-03,16.6,2.79,20.64,Hay
G685,2024-06-03,33.45,3.21,18.95,Hay
N9197,2024-06-03,24.56,3.96,16.22,Silage
G150,2024-06-03,33.06,4.06,20.64,Hay
V472,2024-06-03,25.01,4.26,20.97,Silage
M2207,2024-06-03,28.54,3.74,25.99,Hay
H985,2024-06-03,30.3,3.89,24.95,Silage
A7863,2024-06-03,25.83,3.48,23.7,Hay
G8171,2024-06-03,27.07,3.66,19.2,Silage
V4575,2024-06-03,35.89,3.78,20.2,Hay
E3229,2024-06-03,31.04,3.76,21.55,Hay
N7280,2024-06-03,35.19,3.84,20.25,Hay
K3463,2024-06-03,26.79,3.62,18.91,Hay
I2506,2024-06-03,31.69,2.79,16.29,Silage
W8010,2024-06-03,35.85,3.73,26.6,Silage
J6910,2024-06-03,39.19,4.23,16.07,Silage
Z3123,2024-06-03,24.6,3.15,18.28,Hay
P3832,2024-06-03,35.26,3.5,16.95,Silage
J6077,2024-06-03,26.48,3.35,17.4,Silage
G2757,2024-06-03,34.1,3.38,22.65,Silage
S9300,2024-06-03,32.64,4.39,16.71,Silage
Q9174,2024-06-03,32.44,3.74,22.26,Silage
V3979,2024-06-03,24.85,3.19,21.91,Hay
S6097,2024-06-03,40.75,3.49,17.66,Silage
Z4043,2024-06-03,38.89,3.56,23.79,Silage
M4054,2024-06-03,38.47,3.82,19.45,Silage
K4714,2024-06-03,35.07,3.69,18.5,Hay
N9692,2024-06-03,29.13,2.25,19.35,Silage
V9643,2024-06-03,33.53,3.19,19.73,Silage
Y4092,2024-06-03,37.81,3.85,18.57,Silage
V7756,2024-06-03,33.43,3.86,17.85,Silage
I7447,2024-06-03,31.46,2.84,18.17,Hay
Y7815,2024-06-03,34.23,3.89,20.11,Hay
F5883,2024-06-03,39.32,4.14,18.76,Silage
L9829,2024-06-03,33.4,2.75,20.28,Hay
Q711,2024-06-03,38.05,3.14,25.87,Silage
Z7830,2024-06-03,25.74,3.35,26.39,Silage
M1583,2024-06-03,32.13,3.52,20.36,Silage
I5026,2024-06-03,40.53,3.75,19.29,Silage
L4232,2024-06-03,30.27,3.38,19.84,Hay
O194,2024-06-03,31.72,3.25,16.15,Hay
P6677,2024-06-03,31.05,4.12,21.85,Hay
O8173,2024-06-03,28.96,3.78,17.31,Hay
J9639,2024-06-03,39.44,4.3,18.75,Silage
F2131,2024-06-03,28.15,4.56,22.12,Hay
O6552,2024-06-03,29.03,3.31,23.16,Hay
Y6643,2024-06-03,37.84,3.93,17.02,Silage
V3948,2024-06-03,36.68,3.72,17.89,Silage
E5966,2024-06-03,37.43,3.63,17.78,Silage
H2377,2024-06-03,47.3,2.89,16.81,Silage
H9517,2024-06-03,40.46,3.26,20.18,Silage
D9038,2024-06-03,28.27,3.27,23.33,Hay
E6182,2024-06-03,29.97,4.81,18.22,Silage
D8719,2024-06-03,35.68,3.12,16.05,Hay
B3068,2024-06-03,32.88,3.19,18.28,Hay
R3357,2024-06-03,28.31,2.85,20.89,Hay
F9953,2024-06-03,36.04,3.7,25.03,Hay
E9760,2024-06-03,36.43,2.97,21.26,Silage
Y4775,2024-06-03,34.35,2.99,18.45,Silage
T5602,2024-06-03,22.26,3.56,21.11,Hay
K9325,2024-06-03,32.15,3.42,18.55,Hay
U8535,2024-06-03,35.64,3.69,18.68,Silage
S6386,2024-06-03,28.43,3.55,19.41,Hay
R4684,2024-06-03,31.1,3.75,20.73,Hay
C4705,2024-06-03,23.5,3.5,18.62,Hay
G1028,2024-06-03,31.6,3.35,21.8,Hay
Y3782,2024-06-03,32.9,3.42,19.9,Silage
Q3500,2024-06-03,23.81,3.23,17.78,Hay
O7477,2024-06-03,30.24,3.47,17.83,Silage
Y9266,2024-06-03,34.63,3.37,20.93,Hay
C4705,2024-06-04,34.45,2.87,15.4,Hay
K3463,2024-06-04,21.38,3.13,18.69,Hay
U1955,2024-06-04,24.58,3.24,22.21,Hay
Q3500,2024-06-04,31.68,3.42,18.2,Hay
Z7830,2024-06-04,30.86,3.62,20.27,Silage
O7477,2024-06-04,23.21,2.73,15.95,Silage
Y4092,2024-06-04,46.84,3.89,20.4,Silage
N9692,2024-06-04,27.68,3.61,18.87,Silage
Z4043,2024-06-04,31.64,3.16,18.53,Silage
U8535,2024-06-04,31.83,3,25.6,Silage
O194,2024-06-04,33.01,3.52,23.75,Hay
E3229,2024-06-04,38.16,3.42,18.01,Hay
H2377,2024-06-04,39.34,3.11,18.44,Silage
P6677,2024-06-04,29.2,3.86,17.74,Hay
M4054,2024-06-04,42.88,3.6,19.68,Silage
D8719,2024-06-04,24.79,4.42,22.11,Hay
L4232,2024-06-04,33.73,2.56,20.5,Hay
S9300,2024-06-04,34.78,4.43,19.73,Silage
Z3123,2024-06-04,32.84,2.9,17.85,Hay
V472,2024-06-04,31.19,4.52,25.05,Silage
H985,2024-06-04,38.12,3.43,19.34,Silage
I1385,2024-06-04,36.97,2.95,19.66,Silage
N9197,2024-06-04,46.45,4.2,24.49,Silage
H9517,2024-06-04,34.61,3.22,20.99,Silage
Y4775,2024-06-04,28.51,4.64,18.27,Silage
M2207,2024-06-04,21.63,3.89,18.66,Hay
R5369,2024-06-04,32.52,3.11,14.82,Hay
G1028,2024-06-04,39.31,3.69,20.52,Hay
I5026,2024-06-04,39.57,3.34,26.88,Silage
Y6643,2024-06-04,38.16,3.42,26.01,Silage
U5357,2024-06-04,35.78,3.57,19.2,Silage
V4575,2024-06-04,29.87,3.63,18.31,Hay
U6809,2024-06-04,28.83,4.01,22.89,Hay
I7447,2024-06-04,32.17,2.9,21.28,Hay
P3832,2024-06-04,30.22,3.75,26.11,Silage
Q9174,2024-06-04,41.87,3.3,18.83,Silage
G2757,2024-06-04,35.6,3.95,23.71,Silage
B3068,2024-06-04,37.06,2.93,18.94,Hay
G685,2024-06-04,28.83,3.82,20.14,Hay
K4714,2024-06-04,30.53,3.32,20.27,Hay
O8173,2024-06-04,26.77,3.53,15.81,Hay
E9760,2024-06-04,32.35,3.33,16.22,Silage
Y9266,2024-06-04,28.89,3.67,21.89,Hay
A7863,2024-06-04,32.02,3.54,23.44,Hay
S6097,2024-06-04,38.48,2.79,22.73,Silage
R3357,2024-06-04,31.23,2.73,25.71,Hay
J6077,2024-06-04,39.36,2.53,23.9,Silage
R4684,2024-06-04,30.91,3.5,23.16,Hay
V3979,2024-06-04,30.35,3.48,19.7,Hay
D9038,2024-06-04,29.52,2.96,19.6,Hay
V3948,2024-06-04,31.95,3.4,13.96,Silage
E6182,2024-06-04,26.94,3.94,24.92,Silage
F5883,2024-06-04,32.54,4.54,20.35,Silage
F2131,2024-06-04,36.11,3.37,16.84,Hay
J6910,2024-06-04,33.29,3.93,22.55,Silage
L9829,2024-06-04,27.09,2.9,22.05,Hay
J9639,2024-06-04,29.78,3.71,19.46,Silage
E5966,2024-06-04,31.41,3.33,24.8,Silage
V7756,2024-06-04,28.98,2.31,20.64,Silage
G150,2024-06-04,29.87,3.08,22.54,Hay
