cow_ID,Date,milk_L,feed_kg,feed_type
A102,2024-06-01,28.5,22.1,hay
B215,06/02/2024,31.2,23.7,roughage
C309,1-Jun-2024,26.8,21.5,silage
D411,2024/06/03,29.9,24.0,corn silage
E523,03-06-2024,27.4,20.8,hay
A102,2024-06-04,28.7,22.3,roughage
B215,06/05/2024,30.8,23.5,silage
C309,5-Jun-2024,27.1,21.7,corn silage
D411,2024/06/06,30.2,24.2,hay
E523,06-06-2024,27.0,20.6,roughage
A102,2024-06-07,28.9,22.5,silage
B215,06/08/2024,31.0,23.6,corn silage
C309,8-Jun-2024,26.5,21.3,hay
D411,2024/06/09,29.7,24.1,roughage
E523,09-06-2024,27.2,20.7,silage
A102,2024-06-10,28.6,22.2,corn silage
B215,06/11/2024,31.1,23.8,hay
C309,11-Jun-2024,26.9,21.6,roughage
D411,2024/06/12,30.0,24.3,silage
E523,12-06-2024,27.3,20.9,corn silage
A102,2024-06-13,28.8,22.4,hay
B215,06/14/2024,30.9,23.4,roughage
C309,14-Jun-2024,26.7,21.4,silage
D411,2024/06/15,29.8,24.0,corn silage
E523,15-06-2024,27.1,20.5,hay
A102,2024-06-16,28.4,22.0,roughage
B215,06/17/2024,31.3,23.9,silage
C309,17-Jun-2024,26.6,21.2,corn silage
D411,2024/06/18,29.6,24.2,hay
E523,18-06-2024,27.5,21.0,roughage
A102,2024-06-19,28.3,21.9,silage
B215,06/20/2024,31.4,24.0,corn silage
C309,20-Jun-2024,26.4,21.1,hay
D411,2024/06/21,29.5,24.1,roughage
E523,21-06-2024,27.6,21.1,silage
A102,2024-06-22,28.2,21.8,corn silage
B215,06/23/2024,31.5,24.1,hay
C309,23-Jun-2024,26.3,21.0,roughage
D411,2024/06/24,29.4,24.0,silage
E523,24-06-2024,27.7,21.2,corn silage
A102,2024-06-25,28.1,21.7,hay
B215,06/26/2024,31.6,24.2,roughage
C309,26-Jun-2024,26.2,20.9,silage
D411,2024/06/27,29.3,23.9,corn silage
E523,27-06-2024,27.8,21.3,hay
A102,2024-06-28,28.0,21.6,roughage
B215,06/29/2024,31.7,24.3,silage
C309,29-Jun-2024,26.1,20.8,corn silage
D411,2024/06/30,29.2,23.8,hay
E523,30-06-2024,27.9,21.4,roughage
A102,2024-07-01,27.9,21.5,silage
B215,07/02/2024,31.8,24.4,corn silage
C309,2-Jul-2024,26.0,20.7,hay
D411,2024/07/03,29.1,23.7,roughage
E523,03-07-2024,28.0,21.5,silage
A102,2024-07-04,27.8,21.4,corn silage
B215,07/05/2024,31.9,24.5,hay
C309,5-Jul-2024,25.9,20.6,roughage
D411,2024/07/06,29.0,23.6,silage
E523,06-07-2024,28.1,21.6,corn silage
A102,2024-07-07,27.7,21.3,hay
B215,07/08/2024,32.0,24.6,roughage
C309,8-Jul-2024,25.8,20.5,silage
D411,2024/07/09,28.9,23.5,corn silage
E523,09-07-2024,28.2,21.7,hay
A102,2024-07-10,27.6,21.2,roughage
B215,07/11/2024,32.1,24.7,silage
C309,11-Jul-2024,25.7,20.4,corn silage
D411,2024/07/12,28.8,23.4,hay
E523,12-07-2024,28.3,21.8,roughage
A102,2024-07-13,27.5,21.1,silage
B215,07/14/2024,32.2,24.8,corn silage
C309,14-Jul-2024,25.6,20.3,hay
D411,2024/07/15,28.7,23.3,roughage
E523,15-07-2024,28.4,21.9,silage
A102,2024-07-16,27.4,21.0,corn silage
B215,07/17/2024,32.3,24.9,hay
C309,17-Jul-2024,25.5,20.2,roughage
D411,2024/07/18,28.6,23.2,silage
E523,18-07-2024,28.5,22.0,corn silage
A102,2024-07-19,27.3,20.9,hay
B215,07/20/2024,32.4,25.0,roughage
C309,20-Jul-2024,25.4,20.1,silage
D411,2024/07/21,28.5,23.1,corn silage
E523,21-07-2024,28.6,22.1,hay
A102,2024-07-22,27.2,20.8,roughage
B215,07/23/2024,32.5,25.1,silage
C309,23-Jul-2024,25.3,20.0,corn silage
D411,2024/07/24,28.4,23.0,hay
E523,24-07-2024,28.7,22.2,roughage
A102,2024-07-25,27.1,20.7,silage
B215,07/26/2024,32.6,25.2,corn silage
C309,26-Jul-2024,25.2,19.9,hay
D411,2024/07/27,28.3,22.9,roughage
E523,27-07-2024,28.8,22.3,silage
A102,2024-07-28,27.0,20.6,corn silage
B215,07/29/2024,32.7,25.3,hay
C309,29-Jul-2024,25.1,19.8,roughage
D411,2024/07/30,28.2,22.8,silage
E523,30-07-2024,28.9,22.4,corn silage
A102,2024-07-31,26.9,20.5,hay
B215,07/31/2024,32.8,25.4,roughage
C309,31-Jul-2024,25.0,19.7,silage
D411,2024/08/01,28.1,22.7,corn silage
E523,01-08-2024,29.0,22.5,hay
# ... repeat similar patterns for 500 rows, varying cow_ID, Date, milk_L, feed_kg, feed_type
