"cow_ID","Date","milk_L","feed_kg","feed_type"
"O318","01/24/2024",38.76,15.4,"corn silage"
"S2893","09/26/2024",30.28,19.7,"Silage"
"N7569","2024-06-06",31.66,19.9,"Corn"
"C1665","18th Apr 2024",29.05,17.7,"Silage"
"J8311","07/08/2024",32.35,16.9,"Hay"
"R2759","04/25/2024",25.24,22.8,"corn silage"
"V7498","2024-10-22",35.79,22.7,"Silage"
"K1556","08-10-2024",32.92,16.1,"corn"
"E6584","2024-06-15",25.97,21.3,"roughage"
"T7366","08-16-2024",30.27,16.7,"silage"
"N3570","03/12/2024",33.58,NA,"roughage"
"V598","2024-08-26",32.79,21.6,"Silage"
"Y6215","26th Sep 2024",37.41,NA,"silge"
"Z6820","2024-11-16",26.94,23,"silage"
"E133","05-30-2024",35.58,20.1,"silage"
"S4519","26th Jan 2024",35.18,21.6,"Corn"
"Y6149","2024-02-15",29.19,18.4,"hay"
"Y3199","01/23/2024",25.12,16.5,"hay"
"I9070","2024-08-10",24.55,NA,"corn silage"
"C8859","07/09/2024",32.29,20.7,"corn"
"H5919","02th Dec 2024",29.64,19.3,"silge"
"Z8240","2024-09-12",38.9,20.2,"roughage"
"G5595","2024-02-08",32.68,NA,"hay"
"J3310","11-22-2024",28.14,17.9,"hay"
"I7507","02/14/2024",NA,17.8,"hay"
"S192","10-29-2024",27.09,18.1,"hay"
"D4398","2024-11-27",31.71,15.2,"corn"
"N7041","05th Apr 2024",NA,22.5,"roughage"
"Q3695","06/22/2024",32.57,20.6,"Hay"
"K190","2024-11-11",28.33,20.6,"roughage"
"G6589","23th Mar 2024",29.47,19.9,"Silage"
"U6262","12/10/2024",26.35,18.5,"Corn"
"L3698","05/16/2024",39.53,17.5,"Silage"
"O7689","04/18/2024",31.66,22.6,"corn silage"
"J4912","12/31/2024",31.15,15.7,"corn silage"
"M9637","2024-06-07",21.54,21.3,"Corn"
"G1315","06/14/2024",33.3,17.6,"corn"
"I1396","10/15/2024",24.88,NA,"Corn"
"I5654","01th Dec 2024",25.54,17.8,"silage"
"J2162","11/11/2024",34.59,18.4,"Hay"
"W5719","03-12-2024",27.74,25.3,"hay"
"U3715","12th May 2024",21.26,22,"roughage"
"G5322","14th Nov 2024",38.85,NA,"hay"
"U8949","2024-07-20",18.11,20.4,"silge"
"F3317","12/13/2024",32.86,18.6,"corn silage"
"Y1463","06th Feb 2024",NA,16.6,"silage"
"B250","23th Mar 2024",26.85,20.6,"silage"
"E2607","2024-05-23",32.22,20.4,"Corn"
"H8834","01/06/2024",32.2,19,"corn silage"
"L2592","08th Sep 2024",NA,25.9,"corn silage"
"M9181","06-28-2024",32.42,13.3,"silage"
"R2209","07/18/2024",28.78,22.5,"corn silage"
"A5441","29th Mar 2024",34.58,19.1,"Hay"
"Y6311","04th Apr 2024",34,22,"Hay"
"Y6931","28th Oct 2024",25.32,18.6,"Corn"
"F6221","12/10/2024",23,18.2,"corn silage"
"U664","2024-09-20",30.8,14.9,"corn"
"O1516","2024-06-19",28.63,19.4,"Hay"
"I9990","31th Aug 2024",25.07,27.4,"corn silage"
"O5543","10/06/2024",30.42,23,"hay"
"Z8636","2024-01-05",23.4,25,"corn"
"P3042","05/21/2024",30.81,22.7,"silge"
"T8286","22th Dec 2024",26.88,23.4,"roughage"
"F8570","20th Dec 2024",34.79,22.7,"corn silage"
"K1365","04th Jan 2024",42.12,21.4,"silge"
"H8811","2024-02-04",25.42,NA,"silage"
"V447","08/25/2024",NA,18.4,"Silage"
"V241","07/28/2024",34.13,15.2,"silage"
"G7070","09/22/2024",29.65,20,"corn"
"P7995","12th Jan 2024",27.73,22.7,"silge"
"Q7069","05/07/2024",37.88,NA,"Corn"
"V406","15th Sep 2024",19.97,20.3,"silge"
"R6372","10-08-2024",26.78,18.4,"roughage"
"Q7391","22th Jul 2024",22.82,29.9,"silge"
"B2832","16th Aug 2024",36.98,22.2,"hay"
"D1497","02-14-2024",29.05,24.3,"corn"
"M8184","09-20-2024",27.38,19,"corn"
"E9656","12-04-2024",45.92,19.9,"Hay"
"V4313","23th Dec 2024",29.75,21.3,"Silage"
"S3555","02-01-2024",27.78,25,"corn silage"
"Y4743","14th Sep 2024",31.5,19.1,"hay"
"T78","05/24/2024",22.16,NA,"silge"
"V9722","10-31-2024",32.45,13.7,"corn silage"
"Y3235","2024-07-18",29.52,18.5,"Silage"
"N6380","11/02/2024",32.34,16.1,"Silage"
"Y4674","2024-10-12",NA,23.3,"corn"
"W1830","07/29/2024",24.89,19.5,"corn"
"C2976","2024-03-09",26.53,18.8,"silge"
"H4517","12-14-2024",NA,24.1,"corn silage"
"P1819","02-15-2024",36.5,23.3,"corn silage"
"L4694","01/12/2024",NA,17.3,"Corn"
"Y3764","07th Nov 2024",29.22,21.3,"Silage"
"N9068","01/01/2024",28.21,16.3,"Corn"
"C2405","12-15-2024",28.35,18.6,"hay"
"N903","05/05/2024",NA,24.8,"corn silage"
"G4943","21th Feb 2024",NA,24.4,"corn silage"
"C4545","2024-01-07",31.45,23.3,"hay"
"W9447","15th Jul 2024",26.27,18.3,"corn silage"
"V9549","18th Oct 2024",25.77,14.4,"silage"
"Z4136","12th Sep 2024",35.99,16.5,"Hay"
"O3768","11th Sep 2024",27.26,22.9,"corn silage"
"U8392","02-18-2024",31.52,19.1,"Silage"
"E51","2024-03-09",29.72,13.5,"Corn"
"H5344","15th Jun 2024",25.21,19.5,"Silage"
"S8871","11/27/2024",32.96,24.2,"Hay"
"J3841","08th Jul 2024",30.87,21.9,"corn silage"
"R576","2024-08-08",37,17.5,"Silage"
"J4552","07-11-2024",30.59,15.4,"corn"
"L1014","29th Oct 2024",28.34,17.5,"roughage"
"B4044","2024-05-21",31.39,20.1,"silage"
"J1229","11th Mar 2024",24.07,22.7,"roughage"
"V2171","09th Jul 2024",25.82,14.2,"Silage"
"L2787","2024-06-10",32.55,23.1,"silge"
"T3352","25th Jul 2024",28.33,NA,"silage"
"N6796","2024-09-09",29.67,21.7,"silage"
"Q2003","19th Apr 2024",29.42,15,"Corn"
"N7305","09-12-2024",26.75,NA,"hay"
"V605","09-30-2024",19.91,18.7,"hay"
"C7592","18th Nov 2024",31.74,23.1,"corn silage"
"H7947","12/28/2024",33.81,23.1,"corn"
"N3079","21th Feb 2024",23.56,21.3,"silge"
"S838","2024-07-09",37.41,24.8,"roughage"
"O3238","13th Jun 2024",31.93,18.5,"hay"
"X7422","2024-12-31",36.71,23,"hay"
"Q8790","2024-01-18",25.21,19.9,"hay"
"W1657","17th Jun 2024",NA,18,"hay"
"K9122","11/16/2024",29.5,22.8,"corn"
"G2949","2024-10-21",NA,NA,"roughage"
"O8262","09/27/2024",27.12,22.6,"Hay"
"W5891","06-25-2024",29.95,18.5,"roughage"
"Z4041","18th Dec 2024",21.11,18.6,"Silage"
"F4015","12-23-2024",26.11,24.1,"Corn"
"N6919","11-11-2024",30.63,21.1,"Silage"
"G4971","12/11/2024",26.47,22.5,"corn silage"
"J3508","01-18-2024",29.78,NA,"corn silage"
"E5869","2024-02-04",27.66,23.8,"Corn"
"F269","07-16-2024",NA,17.6,"corn"
"P1435","23th Feb 2024",35.84,21.9,"Corn"
"X4723","06/19/2024",25.89,17.5,"silage"
"U2578","09-08-2024",28.46,12.6,"Hay"
"W9927","13th Mar 2024",37.2,16,"hay"
"K7387","04th Oct 2024",19.01,20.4,"roughage"
"D7859","20th Jan 2024",28.4,22.6,"hay"
"L3293","23th Jun 2024",40.32,14.7,"silge"
"N835","04/23/2024",40.97,16.2,"corn silage"
"S9917","06/17/2024",30.78,25.3,"silage"
"Y601","2024-01-29",25.68,18.7,"silage"
"G8522","2024-09-23",30.83,21.5,"Corn"
"V4996","01/20/2024",26.74,NA,"corn silage"
"Z290","2024-08-23",37.26,19.1,"corn silage"
"I7876","27th Jun 2024",25.97,NA,"silage"
"G4924","10th Dec 2024",31.86,20,"corn silage"
"B9110","09-25-2024",33.1,19.4,"Hay"
"P2776","03/16/2024",26.21,18.6,"Hay"
"M9662","2024-11-18",34.26,10.9,"Corn"
"S7728","01th Apr 2024",NA,25.6,"corn silage"
"X1364","09-23-2024",33.15,25.4,"corn"
"T7487","2024-01-19",35.48,16.7,"Hay"
"O503","2024-01-11",25.06,19.5,"corn silage"
"G3147","03-03-2024",35.54,NA,"hay"
"D9217","12/21/2024",27.55,23,"corn"
"A785","03th Jun 2024",31.47,NA,"silge"
"H1795","14th Sep 2024",31.01,16.8,"roughage"
"T7273","09/08/2024",NA,27.7,"corn silage"
"Y854","18th Aug 2024",NA,16.6,"silge"
"P9287","08-15-2024",23.85,22.3,"silage"
"X8640","11/06/2024",29.32,NA,"Silage"
"V7031","02/17/2024",34.13,18.8,"silage"
"K9738","11th Sep 2024",19.13,18.9,"corn"
"P3127","2024-06-04",22.56,NA,"silge"
"T617","11th Oct 2024",NA,NA,"Corn"
"H4302","07/14/2024",NA,20.3,"silge"
"C435","17th Jun 2024",32.1,20.8,"roughage"
"D3048","21th Apr 2024",25.04,20.6,"silge"
"T4028","04-04-2024",19.18,18.9,"hay"
"L600","09/07/2024",26.81,16.6,"corn"
"V9963","04-16-2024",28.05,20.8,"corn"
"Q8578","2024-05-16",34.28,13.7,"Hay"
"J3334","12/04/2024",24.48,NA,"Silage"
"T3139","06/04/2024",35.81,16.8,"corn silage"
"K2791","2024-09-27",31.99,16.8,"hay"
"Y6708","02/29/2024",31.81,20.3,"silge"
"W5476","21th Jul 2024",25.74,24.8,"corn silage"
"H741","08th Aug 2024",39.77,NA,"Silage"
"N9855","17th Jan 2024",29.18,21.3,"Silage"
"U4618","2024-02-10",20.88,22.7,"corn"
"M4681","01/25/2024",28.98,17,"corn"
"B255","26th Aug 2024",20.33,19.8,"silge"
"K3420","11-27-2024",28.45,22.5,"corn silage"
"M7638","10/01/2024",27.89,19.2,"corn silage"
"N9851","02-21-2024",33.41,NA,"Corn"
"F4183","07/17/2024",35.05,20.9,"Silage"
"Y5976","23th Sep 2024",NA,19.8,"Corn"
"H2058","05/22/2024",34.03,18.3,"hay"
"L8777","07/19/2024",37.12,19.6,"corn silage"
"Z4558","12-09-2024",26.08,25.6,"corn silage"
"D3826","12/04/2024",26.74,22.6,"hay"
"M2747","05-18-2024",33.25,NA,"corn silage"
"N7454","2024-02-02",30.92,16.3,"silage"
"U6985","2024-04-14",32.74,18.9,"Hay"
"P6423","10/05/2024",37.02,24,"corn silage"
"W3583","04th Sep 2024",31.94,20.9,"Silage"
"A8994","01-17-2024",35.26,17.9,"Corn"
"H2289","05-17-2024",33.11,22.6,"Silage"
"H8969","01-18-2024",NA,19.6,"Hay"
"J1351","04/11/2024",31.93,16.6,"corn silage"
"Y6315","12/10/2024",36.46,21.4,"Silage"
"H1702","03/11/2024",24.99,24.6,"corn"
"R8070","24th Dec 2024",24.47,21.3,"roughage"
"U7845","20th Mar 2024",32.96,20.6,"silage"
"I1552","10th May 2024",29.4,18,"roughage"
"G9120","2024-08-14",30.37,21.7,"Silage"
"G6089","21th Jan 2024",33.71,16.8,"silge"
"Z6017","08/25/2024",33.77,15,"silage"
"J3542","13th Nov 2024",28.69,19.9,"silage"
"X3950","06/10/2024",28.44,19.9,"Corn"
"V2881","2024-01-28",30.37,27.1,"hay"
"W8005","06/02/2024",35.32,NA,"hay"
"Z9530","2024-05-08",NA,20.5,"corn silage"
"K4014","03/30/2024",37.17,22.4,"corn"
"A534","10-03-2024",29.96,23.2,"silge"
"Y8078","12-23-2024",NA,20,"roughage"
"S9173","04/30/2024",34.42,17.8,"hay"
"J4551","06-11-2024",33.06,19.8,"hay"
"U3164","2024-04-03",32.07,25.8,"hay"
"V7656","01/12/2024",28.6,21.4,"hay"
"M788","09-05-2024",29.45,NA,"corn"
"K2095","05/20/2024",31.15,24.3,"roughage"
"K3016","2024-11-01",30.24,21.6,"Hay"
"Y4577","2024-02-02",34.72,19.9,"roughage"
"T1271","05/31/2024",29.45,19.9,"Silage"
"Z2152","01/09/2024",29.65,19.6,"Corn"
