"vid","date","feed KG","Feed Type"
"G150","09/30/2024",19.76,"silage"
"V472","2024-11-18",NA,"Corn"
"M1583","2024-12-28",17.43,"silage "
"Z7830","2024-02-21",23.31,"Corn"
"V3948","2024-07-09",22.34,"corn"
"U1955","06-13-2024",15.79,"silage"
"L4232","12/31/2024",17.36,"Hay"
"G8171","01/18/2024",19.48,"corn"
"Z7830","17 Jun 2024",17.34,"Corn"
"I5026","2024-11-16",15.03,"silge"
"G2757","2024-10-21",18.09,"corn"
"U8535","09/27/2024",19.13,"silge"
"E3229","25 Jun 2024",15.74,"hay"
"V9643","12-18-2024",19.63,"Hay"
"S6386","2024-12-23",16.79,"Silage"
"V3979","2024-11-11",14.34,"corn silage"
"U1955","2024-12-11",17.77," hay "
"E3229","01/18/2024",17.37,"silge"
"M2207","04 Feb 2024",24.52,"Silage"
"E9760","07-16-2024",18.51,"corn"
"G8171","02/23/2024",21.25,"Hay"
"D8719","06/19/2024",18.8,"silage "
"E5966","09-08-2024",18.28,"hay"
"U6809","13 Mar 2024",NA,"silage"
"V3979","10/04/2024",15.51," silage"
"E3229","2024-01-20",21.4,"Hay"
"W8010","2024-06-23",24.73,"silage"
"Q3500","2024-04-23",20.97,"Hay"
"G685","06/17/2024",21.23,"corn silage"
"D9038","29 Jan 2024",19.97," silage"
"O194","09/23/2024",22.88,"silge"
"A7863","2024-01-20",21.29,"hay"
"V3979","2024-08-23",14.92," hay "
"A7863","2024-06-27",14.47," hay "
"D9038","10 Dec 2024",19.43,"corn silage"
"I8517","25 Sep 2024",16.91,"corn"
"O8173","03-16-2024",21.77,"silge"
"G2757","2024-11-18",18.68,"Corn"
"V9643","04/01/2024",22.99,"silge"
"D8719","23 Sep 2024",25.03,"hay"
"T4649","01-19-2024",24.95,"silage "
"Y3782","2024-01-11",19.41,"silge"
"I5026","03/03/2024",17.59,"hay"
"I8517","2024-12-21",19.59,"Corn"
"H2377","06-03-2024",15.85,"silage "
"V472","2024-09-14",23.76,"Hay"
"W8010","09-08-2024",14.39," silage"
"B984","08-18-2024",16.37,"corn silage"
"O194","08/15/2024",21.74," silage"
"S9300","11/06/2024",21.03,"corn"
"R3357","17 Feb 2024",NA,"silge"
"V9643","09/11/2024",17.16,"silge"
"I7447","06/04/2024",15.17,"hay"
"G150","2024-10-11",23,"Hay"
"L4232","2024-07-14",NA,"hay"
"O8173","2024-06-17",26.72,"silage "
"C7126","04-21-2024",16.78," silage"
"Y3782","04-04-2024",14.49,"Corn"
"G2757","09-07-2024",22.43,"Silage"
"I5026","04-16-2024",24.89,"Silage"
"R4684","2024-05-16",19.49,"corn"
"Z4043","2024-12-04",22.58," silage"
"U6809","06/04/2024",18.68,"silage"
"I5026","27 Sep 2024",23.26,"corn silage"
"J6910","02-29-2024",21.12,"Hay"
"J7734","07/21/2024",21.51,"corn silage"
"K4714","08-08-2024",16.06," silage"
"V4575","2024-01-17",17.89,"Silage"
"G150","10 Feb 2024",18.29,"silge"
"K4714","01-25-2024",19.24," hay "
"F2131","08-26-2024",15.8," hay "
"Z7830","27 Nov 2024",21.89,"corn"
"Q711","01 Oct 2024",17.27," hay "
"V3948","2024-02-21",20.87,"corn"
"G685","07/17/2024",15.16,"corn"
"V472","2024-09-23",17.26,"corn"
"G1028","2024-05-22",26.28,"corn"
"K9325","19 Jul 2024",NA,"silage "
"M1583","2024-12-09",NA,"silge"
"Q3500","2024-12-04",16.58,"Hay"
"L4232","2024-05-18",17.94," hay "
"Q3500","02/02/2024",17.06,"silge"
"D8719","14 Apr 2024",21.38,"silage"
"Y4092","10-05-2024",NA,"silage"
"Y7815","09/04/2024",24.71,"corn silage"
"P6677","01/17/2024",20.51,"Silage"
"Y4092","2024-05-17",18.77,"silage"
"Y4775","01-18-2024",24.25,"silage"
"J6910","11 Apr 2024",23.65,"silage "
"V472","12-10-2024",19.42," silage"
"J6077","11 Mar 2024",25.37,"hay"
"V3979","12/24/2024",21.41,"silage"
"V472","20 Mar 2024",17.65,"hay"
"G685","05-10-2024",17.04," silage"
"S6386","14 Aug 2024",17.87,"hay"
"U6809","2024-01-21",21.33,"Hay"
"V3979","08/25/2024",18.7,"corn silage"
"D9038","13 Nov 2024",18.51," silage"
"U1955","10 Jun 2024",16.52,"Hay"
"J9639","01-28-2024",24.29,"corn silage"
"P3832","2024-06-02",20.01,"corn"
"S9300","08 May 2024",22.96,"corn silage"
"J6077","30 Mar 2024",17.9," hay "
"U6809","03 Oct 2024",16.73,"hay"
"H2377","12-23-2024",16.04,"silage "
"Y6643","04/30/2024",21.38,"silge"
"B3068","11 Jun 2024",NA,"corn"
"M2207","2024-04-03",17.77,"silage "
"I7447","2024-01-12",22.3,"silge"
"Y4775","05 Sep 2024",20.08,"corn"
"E3229","2024-05-20",17.34,"silge"
"Q711","11-01-2024",14.7,"silage"
"E6182","02-02-2024",22.79,"hay"
"M4054","31 May 2024",13.57,"silage "
"F9953","01/09/2024",15.94,"Silage"
"I7447","2024-06-07",22.93,"silge"
"V7756","2024-12-17",23.15,"corn"
"O6552","2024-07-12",18.76,"Silage"
"J7734","10/13/2024",21.07,"corn silage"
"K4714","02-29-2024",18.52,"Silage"
"S9300","03/31/2024",22.11,"silage "
"Y4775","08 Apr 2024",21.47,"silge"
"B3068","08-12-2024",23.96,"silge"
"E6182","07/20/2024",22.18," silage"
"C4705","2024-06-19",20.17,"Hay"
"V3948","05/26/2024",17.55,"corn silage"
"M2207","26 Aug 2024",20.32,"Corn"
"R4684","06/15/2024",18.71,"Hay"
"Z4043","2024-04-05",19.42," silage"
"H985","08-27-2024",20.96,"hay"
"U1955","01 Nov 2024",20.81,"Hay"
"I2506","05-11-2024",14.87,"Silage"
"N9692","2024-06-27",20.97,"Hay"
